Parameter,Type,Min,Max,Default,Description,Example
Custom_Coordinator_Events,array of strings,NA,NA,NA,"The list of valid, user-defined events for Event Coordinators that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Custom_Coordinator_Events.json)
Custom_Individual_Events,array of strings,NA,NA,NA,"The list of valid, user-defined events that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.

.. note:: 

    This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Custom_Individual_Events.json)
Custom_Node_Events,array of strings,NA,NA,NA,"The list of valid, user-defined events for nodes that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.

.. note:: 

    This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Custom_Node_Events.json)
Custom_Reports_Filename,string,NA,NA,UNINITIALIZED STRING,The name of the file containing custom report configuration parameters. Omitting this parameter or setting it to RunAllCustomReports will load all reporters found that are valid for the given simulation type. The file must be in JSON format.,[link](../json/config-output-generic_Custom_Reports_Filename.json)
Duration_Days,float,0,3.40282e+38,3.40282e+38,"The duration of simulation days over which to report events. The report will stop collecting data when the simulation day is greater than Start_Day + Duration_Days. Used in all reports that are subclasses of BaseEventReport, such as: ReportEventCounter, MalariaTransmissionReport, and BaseEventReportIntervalOutput.",[link](../json/config-output-generic_Duration_Days.json)
Enable_Default_Reporting,boolean,0,1,1,Controls whether or not the default InsetChart.json report is created.,[link](../json/config-output-generic_Enable_Default_Reporting.json)
Enable_Demographics_Reporting,boolean,0,1,1,Controls whether or not demographic summary data and age-binned reports are outputted to file.,[link](../json/config-output-generic_Enable_Demographics_Reporting.json)
Enable_Property_Output,boolean,0,1,0,"Controls whether or not to create property output reports, which detail groups as defined in **IndividualProperties** in the demographics file (see :ref:`demo-properties` parameters).  When there is more than one property type, the report will display the channel information for all combinations of the property type groups.",[link](../json/config-output-generic_Enable_Property_Output.json)
Enable_Spatial_Output,boolean,0,1,0,"Controls whether or not spatial output reports are created. If set to true (1), spatial output reports include all channels listed in the parameter **Spatial_Output_Channels**. 

.. note:: 

    Spatial output files require significant processing time and disk space.",[link](../json/config-output-generic_Enable_Spatial_Output.json)
Event_Trigger_List,array of strings,NA,NA,NA,The list of event triggers for the events included in the report.,[link](../json/config-output-generic_Event_Trigger_List.json)
Max_Number_Reports,float,1,1000000,1,Used by reports and custom reports. The maximum number of report output files that will be produced for a given simulation.,[link](../json/config-output-generic_Max_Number_Reports.json)
Pretty_Format,boolean,0,1,0,"True (1) sets pretty JSON formatting, which includes carriage returns, line feeds, and spaces for easier readability. The default, false (0), saves space where everything is on one line.",[link](../json/config-output-generic_Pretty_Format.json)
Report_Coordinator_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportCoordinatorEventRecorder.csv output report for coordinator events. When enabled (set to 1) reports will be generated for the broadcasted valid coordinator events, as specified in **Report_Coordinator_Event_Recorder_Events**.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Coordinator_Event_Recorder.json)
Report_Coordinator_Event_Recorder_Events,array of strings,NA,NA,NA,"The list of events to include or exclude in the ReportCoordinatorEventRecorder.csv output report, based on how **Report_Coordinator_Event_Recorder_Ignore_Events_In_List** is set. This list must not be empty and is dependent upon **Report_Coordinator_Event_Recorder** being enabled. In addition, the events must be defined in **Customer_Coordinator_Events**.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Coordinator_Event_Recorder_Events.json)
Report_Coordinator_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Coordinator_Event_Recorder_Events** array will be included in the ReportCoordinatorEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Coordinator_Event_Recorder_Ignore_Events_In_List.json)
Report_Description,string,NA,NA,NA,"Used by reports and custom reports. Augments the filename of the report. If multiple CSV reports are being generated, this allows you to distinguish among the multiple reports.",[link](../json/config-output-generic_Report_Description.json)
